Targa;Centro di costo;Tipologia;Modello;Assegnazione
FP781CW ;VEVIGONOVOCRC;Autocarro;Fiat Ducato;no
GJ426VV ;VEHQSTR;Autovettura;Tucson 1.6 CRDI 48V DCT XLine;fringe benefit
GL955PE ; VEJESOLOCRC;Autovettura;OPEL Corsa 1.5 D 100 CV Edition;fringe benefit
GL960PE ; VEJESOLOCRC;Autovettura;OPEL Corsa 1.5 D 100 CV Edition;fringe benefit
GM655PE ;VEVIGONOVOCRC;Autovettura;OPEL Corsa 1.5 D 100 CV Edition;fringe benefit
GM965ZY ;VEHQAMM;Autovettura;A4 Avant 30 Tdi 136 Cv;fringe benefit
GP433MR ;VEHQGES;Autovettura;A4 Avant 30 Tdi 136 Cv;fringe benefit
GS784RK ;VEHQACQ;Autovettura;KIA  Xceed 1.6 Crdi 136 Cv Mhev Dct Business;fringe benefit
GW527NN ;VEHQRIU;Autovettura;Tonale 1 6 Diesel 130 Cv Tct6 Sprint;fringe benefit
GY375AS ;VEHQSIC;Autovettura;PEUGEOT  308 Bluehdi 130 S&S Eat8 Sw Allure;fringe benefit
GZ850SP ;VEHQRFS;Autovettura;KIA SPORTAGE 1 6 Crdi Mhev ;fringe benefit
GZ851SP ;VEHQQGC;Autovettura;KIA SPORTAGE 1 6 Crdi Mhev ;fringe benefit
HA512AF ;VEHQAMM;Autovettura;Renault Clio 100 CV. 1.5 DCI ;fringe benefit
HA970XA ;VEHQRIU;Autovettura;DS 7 Bluehdi 130;fringe benefit
HB344BJ ;VEHQGES;Autovettura;BMW X2 sDRIVE 18d;fringe benefit
HB370BJ ;VEHQDIR;Autovettura;BMW X3 20D XDRIVE;fringe benefit
HB893TA ;VEHQAMM;Autovettura;BMW X2 sDRIVE 18d;fringe benefit
HA360XA ;VEHQACQ;Autovettura;Sportage 1 6 Crdi Mhev Dct Business;fringe benefit
HA361XA ;VEHQSIC;Autovettura;Sportage 1 6 Crdi Mhev Dct Business;fringe benefit
HC520BK;VEHQSTR;Autovettura;Tiguan 2 0 Tdi 150 Cv Dsg Edition Plus;fringe benefit
